timestamp,close,volume
2022-07-01,19269.367187500000,30767551159
2022-07-02,19242.255859375000,18100418740
2022-07-03,19297.076171875000,16390821947
2022-07-04,20231.261718750000,21594638208
2022-07-05,20190.115234375000,26715546990
2022-07-06,20548.246093750000,24598943708
2022-07-07,21637.587890625000,25814972520
2022-07-08,21731.117187500000,49899834488
2022-07-09,21592.207031250000,29641127858
2022-07-10,20860.449218750000,28688807249
2022-07-11,19970.556640625000,24150249025
2022-07-12,19323.914062500000,25810220018
2022-07-13,20212.074218750000,33042430345
2022-07-14,20569.919921875000,31158743333
2022-07-15,20836.328125000000,25905575359
2022-07-16,21190.316406250000,24302954056
2022-07-17,20779.343750000000,22927802083
2022-07-18,22485.689453125000,39974475562
2022-07-19,23389.433593750000,48765202697
2022-07-20,23231.732421875000,42932549127
2022-07-21,23164.628906250000,33631012204
2022-07-22,22714.978515625000,31421555646
2022-07-23,22465.478515625000,24021799169
2022-07-24,22609.164062500000,23565495303
2022-07-25,21361.701171875000,35574561406
2022-07-26,21239.753906250000,28624673855
2022-07-27,22930.548828125000,31758955233
2022-07-28,23843.886718750000,40212386158
2022-07-29,23804.632812500000,35887249746
2022-07-30,23656.207031250000,28148218301
2022-07-31,23336.896484375000,23553591896
2022-08-01,23314.199218750000,25849159141
2022-08-02,22978.117187500000,28389250717
2022-08-03,22846.507812500000,26288169966
2022-08-04,22630.957031250000,25120229769
2022-08-05,23289.314453125000,28881249043
2022-08-06,22961.279296875000,15978259885
2022-08-07,23175.890625000000,15886817043
2022-08-08,23809.486328125000,28575544847
2022-08-09,23164.318359375000,23555719219
2022-08-10,23947.642578125000,32837431722
2022-08-11,23957.529296875000,37127036580
2022-08-12,24402.818359375000,27265804688
2022-08-13,24424.068359375000,22987346289
2022-08-14,24319.333984375000,22994133555
2022-08-15,24136.972656250000,35123501685
2022-08-16,23883.291015625000,27753685646
2022-08-17,23335.998046875000,30931623076
2022-08-18,23212.738281250000,23747613147
2022-08-19,20877.552734375000,40509610260
2022-08-20,21166.060546875000,27595671000
2022-08-21,21534.121093750000,23102307723
2022-08-22,21398.908203125000,31666498758
2022-08-23,21528.087890625000,31878280659
2022-08-24,21395.019531250000,31962253368
2022-08-25,21600.904296875000,31028679593
2022-08-26,20260.019531250000,42326789564
2022-08-27,20041.738281250000,30116729776
2022-08-28,19616.814453125000,24366810591
2022-08-29,20297.994140625000,32637854078
2022-08-30,19796.808593750000,34483360283
2022-08-31,20049.763671875000,33225232872
2022-09-01,20127.140625000000,30182031010
2022-09-02,19969.771484375000,29123998928
2022-09-03,19832.087890625000,23613051457
2022-09-04,19986.712890625000,25245861652
2022-09-05,19812.371093750000,28813460025
2022-09-06,18837.667968750000,43403978910
2022-09-07,19290.324218750000,35239757134
2022-09-08,19329.833984375000,32194477850
2022-09-09,21381.152343750000,48469528171
2022-09-10,21680.539062500000,36913738894
2022-09-11,21769.255859375000,34493951963
2022-09-12,22370.449218750000,50212088965
2022-09-13,20296.707031250000,51091116622
2022-09-14,20241.089843750000,37872380889
2022-09-15,19701.210937500000,36389011503
2022-09-16,19772.583984375000,30123362273
2022-09-17,20127.576171875000,24957448100
2022-09-18,19419.505859375000,31254779144
2022-09-19,19544.128906250000,40177002624
2022-09-20,18890.789062500000,36791346508
2022-09-21,18547.400390625000,46363793975
2022-09-22,19413.550781250000,41135767926
2022-09-23,19297.638671875000,38896078052
2022-09-24,18937.011718750000,26149643168
2022-09-25,18802.097656250000,23359966112
2022-09-26,19222.671875000000,44148798321
2022-09-27,19110.546875000000,58571439619
2022-09-28,19426.720703125000,53071298734
2022-09-29,19573.050781250000,41037843771
2022-09-30,19431.789062500000,43975248085
2022-10-01,19312.095703125000,18719537670
2022-10-02,19044.107421875000,20765955327
2022-10-03,19623.580078125000,30484729489
2022-10-04,20336.843750000000,35887278685
2022-10-05,20160.716796875000,33223790572
2022-10-06,19955.443359375000,34711412966
2022-10-07,19546.849609375000,29227315390
2022-10-08,19416.568359375000,16437423167
2022-10-09,19446.425781250000,16837262532
2022-10-10,19141.484375000000,27425022774
2022-10-11,19051.417968750000,28711532910
2022-10-12,19157.445312500000,24950173846
2022-10-13,19382.904296875000,44219840004
2022-10-14,19185.656250000000,38452356727
2022-10-15,19067.634765625000,16192235532
2022-10-16,19268.093750000000,17988916650
2022-10-17,19550.757812500000,27472552998
2022-10-18,19334.416015625000,30580012344
2022-10-19,19139.535156250000,22425387184
2022-10-20,19053.740234375000,24493974420
2022-10-21,19172.468750000000,32459287866
2022-10-22,19208.189453125000,16104440957
2022-10-23,19567.007812500000,22128794335
2022-10-24,19345.572265625000,30202235805
2022-10-25,20095.857421875000,47761524910
2022-10-26,20770.441406250000,58895950537
2022-10-27,20285.835937500000,49625110402
2022-10-28,20595.351562500000,43994715910
2022-10-29,20818.476562500000,40369840645
2022-10-30,20635.603515625000,31486345556
2022-10-31,20495.773437500000,45668466815
2022-11-01,20485.273437500000,39819303159
2022-11-02,20159.503906250000,55552169483
2022-11-03,20209.988281250000,43228750179
2022-11-04,21147.230468750000,64072727950
2022-11-05,21282.691406250000,37846047609
2022-11-06,20926.486328125000,35082693210
2022-11-07,20602.816406250000,53510852236
2022-11-08,18541.271484375000,118992465607
2022-11-09,15880.780273437500,102905151606
2022-11-10,17586.771484375000,83202283721
2022-11-11,17034.292968750000,55871616488
2022-11-12,16799.185546875000,29717699419
2022-11-13,16353.365234375000,27209183682
