timestamp,close,volume
2022-07-01,1059.767333984375,17499453625
2022-07-02,1066.512817382812,9935603640
2022-07-03,1073.766967773438,8557248150
2022-07-04,1151.059082031250,13670889311
2022-07-05,1134.541015625000,16195518291
2022-07-06,1186.973999023438,15373536703
2022-07-07,1237.593383789062,14230795894
2022-07-08,1222.506225585938,16315929082
2022-07-09,1216.978271484375,8821353104
2022-07-10,1168.401611328125,10984558039
2022-07-11,1097.236572265625,12064180410
2022-07-12,1038.191650390625,12583282453
2022-07-13,1113.587158203125,18302588147
2022-07-14,1191.526245117188,16688640823
2022-07-15,1233.129150390625,17411448225
2022-07-16,1352.626464843750,18364013796
2022-07-17,1338.635742187500,16079711737
2022-07-18,1578.717895507812,27440420623
2022-07-19,1542.975219726562,27753529276
2022-07-20,1520.200683593750,22942708340
2022-07-21,1576.749511718750,20009556587
2022-07-22,1537.405151367188,18926100582
2022-07-23,1549.297485351562,14998811383
2022-07-24,1599.476684570312,17217849557
2022-07-25,1445.383422851562,20585056021
2022-07-26,1441.806762695312,18238563509
2022-07-27,1636.232666015625,23007524016
2022-07-28,1725.468139648438,27231399966
2022-07-29,1727.406982421875,23249531113
2022-07-30,1695.969482421875,15576977870
2022-07-31,1681.517333984375,14200735370
2022-08-01,1635.195800781250,16191371176
2022-08-02,1632.945434570312,20426082309
2022-08-03,1618.874511718750,16786218830
2022-08-04,1608.205810546875,14467440626
2022-08-05,1732.254638671875,18546491876
2022-08-06,1691.658081054688,11757911705
2022-08-07,1699.350830078125,10252090340
2022-08-08,1775.516113281250,16841424404
2022-08-09,1703.025024414062,16368619692
2022-08-10,1851.742675781250,23512477984
2022-08-11,1881.224121093750,23826986482
2022-08-12,1957.246459960938,17168141904
2022-08-13,1981.336547851562,16038975216
2022-08-14,1936.802001953125,14062754456
2022-08-15,1904.228149414062,20349931313
2022-08-16,1878.139404296875,15637578930
2022-08-17,1832.999633789062,20308508124
2022-08-18,1847.007812500000,14999352229
2022-08-19,1612.987304687500,25906358731
2022-08-20,1577.003784179688,18334580263
2022-08-21,1619.318969726562,15849221752
2022-08-22,1622.505859375000,18557078599
2022-08-23,1662.769897460938,18322041914
2022-08-24,1657.059204101562,16780932907
2022-08-25,1696.457031250000,14818795695
2022-08-26,1507.782836914062,26713710143
2022-08-27,1491.395019531250,18120831899
2022-08-28,1430.547363281250,12823572918
2022-08-29,1553.037353515625,17965837488
2022-08-30,1523.838867187500,21835784470
2022-08-31,1553.684936523438,20591680941
2022-09-01,1586.176757812500,16434276817
2022-09-02,1577.220458984375,17708478709
2022-09-03,1556.872680664062,9516825994
2022-09-04,1577.641601562500,8884144998
2022-09-05,1617.183227539062,13060541168
2022-09-06,1561.748535156250,22946059125
